label,#subjects,map_min,map_max,map_mean,rFFA_min,rFFA_max,rFFA_mean
1,94,-6.9696865,5.129406,-0.26760772,-2.0874887,5.129406,1.7221887
2,73,-7.3895917,8.13306,-0.15296954,-2.528557,8.13306,2.2164369
3,60,-7.245488,9.068648,-0.22835472,-1.8577769,9.068648,2.074769
4,194,-6.9434223,9.455606,-0.24807392,-1.98837,9.455606,2.1429772
5,134,-7.167177,8.494534,-0.27686065,-1.5589677,8.494534,2.2337813
6,99,-6.603605,11.309654,-0.122293346,-0.5303912,11.309654,3.3714225
7,113,-6.9902987,9.062153,-0.11176104,-0.60311335,9.062153,2.717981
8,95,-7.3688574,7.528369,-0.14868224,-1.438995,7.528369,2.6184275
9,106,-7.248002,10.778731,-0.16987209,-0.3315475,10.778731,3.1675797
10,112,-7.0486417,6.275861,-0.27423817,-0.8545203,6.275861,2.542238
